125,129,128
125,129,128
125,129,128
125,129,128
125,129,128
125,129,128
125,129,128
125,129,128
125,129,128
127,131,133
127,131,133
127,131,133
127,131,133
127,131,133
127,131,133
123,131,133
127,131,133
127,131,133
120,131,123
127,131,123
120,131,123
127,131,123
127,131,123
127,131,123
127,131,123
120,131,123
120,131,123
120,131,129
120,131,129
120,131,129
120,131,129
120,131,129
120,131,129
120,131,129
120,131,129
120,131,129
119,124,119
119,124,119
119,124,119
119,124,119
119,124,119
119,124,119
119,124,119
119,124,119
119,124,119
127,128,134
127,128,134
127,128,134
127,128,134
127,134,134
127,134,134
127,134,134
127,134,134
127,134,134
127,131,129
127,131,129
127,131,129
127,131,129
127,131,129
127,131,129
127,131,129
127,131,129
127,131,129
134,131,133
134,131,133
123,131,133
134,131,133
134,131,133
134,131,133
134,131,133
134,131,133
123,131,133
134,130,114
120,130,114
134,130,114
134,130,114
120,130,114
134,130,114
134,130,114
120,130,114
120,130,114
128,128,128
128,128,128
128,128,128
128,128,128
128,128,128
128,128,128
128,128,128
128,128,128
128,128,128
127,130,134
127,130,134
128,130,134
127,130,134
127,130,134
127,130,134
127,130,134
127,130,134
127,130,134
134,131,134
